ENVO:00000004	administrative region	GCMD:1ae304de-252c-45da-8dd8-df99a281e4f4	ADMINISTRATIVE DIVISIONS	administrative divis		info(related-label,rdf(ENVO:00000004-administrative region,oio:hasRelatedSynonym-has_related_synonym,administrative division-administrative division^^xsd:string)-rdf(GCMD:1ae304de-252c-45da-8dd8-df99a281e4f4-ADMINISTRATIVE DIVISIONS,skos:prefLabel,(ADMINISTRATIVE DIVISIONS-ADMINISTRATIVE DIVISIONS)@en),stem)	
ENVO:00000045	estuary	GCMD:5a1ebca4-057d-43b9-af6a-04f57b93f8bb	ESTUARY	estuary		info(label-label,rdf(ENVO:00000045-estuary,rdfs:label,estuary-estuary^^xsd:string)-rdf(GCMD:5a1ebca4-057d-43b9-af6a-04f57b93f8bb-ESTUARY,skos:prefLabel,(ESTUARY-ESTUARY)@en),downcase)	
ENVO:00000045	estuary	GCMD:a7dcdedf-bcc5-4032-b70f-7fadf74d6144	ESTUARIES	estuari		info(exact-label,rdf(ENVO:00000045-estuary,oio:hasExactSynonym-has_exact_synonym,Estuary-Estuary^^xsd:string)-rdf(GCMD:a7dcdedf-bcc5-4032-b70f-7fadf74d6144-ESTUARIES,skos:prefLabel,(ESTUARIES-ESTUARIES)@en),stem)	
ENVO:00000045	estuary	GCMD:a7dcdedf-bcc5-4032-b70f-7fadf74d6144	ESTUARIES	estuari		info(exact-label,rdf(ENVO:00000045-estuary,oio:hasExactSynonym-has_exact_synonym,estuary-estuary^^xsd:string)-rdf(GCMD:a7dcdedf-bcc5-4032-b70f-7fadf74d6144-ESTUARIES,skos:prefLabel,(ESTUARIES-ESTUARIES)@en),stem)	
ENVO:00000045	estuary	GCMD:a7dcdedf-bcc5-4032-b70f-7fadf74d6144	ESTUARIES	estuari		info(label-label,rdf(ENVO:00000045-estuary,rdfs:label,estuary-estuary^^xsd:string)-rdf(GCMD:a7dcdedf-bcc5-4032-b70f-7fadf74d6144-ESTUARIES,skos:prefLabel,(ESTUARIES-ESTUARIES)@en),stem)	
ENVO:00000045	estuary	GCMD:f43cd776-c568-4d09-997c-0a8ad1022e06	INLETS	inlet		info(related-label,rdf(ENVO:00000045-estuary,oio:hasRelatedSynonym-has_related_synonym,inlet-inlet^^xsd:string)-rdf(GCMD:f43cd776-c568-4d09-997c-0a8ad1022e06-INLETS,skos:prefLabel,(INLETS-INLETS)@en),stem)	
ENVO:00000054	saline marsh	GCMD:7da95c01-4b39-437e-a8d4-fd572e43f693	WETLANDS	wetland		info(broad-label,rdf(ENVO:00000054-saline marsh,oio:hasBroadSynonym-has_broad_synonym,wetland-wetland^^xsd:string)-rdf(GCMD:7da95c01-4b39-437e-a8d4-fd572e43f693-WETLANDS,skos:prefLabel,(WETLANDS-WETLANDS)@en),stem)	
ENVO:00000054	saline marsh	GCMD:b72c49a1-8276-4753-8c88-894bc7bbf60d	WETLANDS	wetland		info(broad-label,rdf(ENVO:00000054-saline marsh,oio:hasBroadSynonym-has_broad_synonym,wetland-wetland^^xsd:string)-rdf(GCMD:b72c49a1-8276-4753-8c88-894bc7bbf60d-WETLANDS,skos:prefLabel,(WETLANDS-WETLANDS)@en),stem)	
ENVO:00000054	saline marsh	GCMD:d138302a-03b3-4cf7-95db-ac98f863c04f	WETLANDS	wetland		info(broad-label,rdf(ENVO:00000054-saline marsh,oio:hasBroadSynonym-has_broad_synonym,wetland-wetland^^xsd:string)-rdf(GCMD:d138302a-03b3-4cf7-95db-ac98f863c04f-WETLANDS,skos:prefLabel,(WETLANDS-WETLANDS)@en),stem)	
ENVO:00000073	building	GCMD:d7742082-5461-4610-9ced-e0ec3bb64697	BUILDINGS	build		info(exact-label,rdf(ENVO:00000073-building,oio:hasExactSynonym-has_exact_synonym,BUILDING-BUILDING^^xsd:string)-rdf(GCMD:d7742082-5461-4610-9ced-e0ec3bb64697-BUILDINGS,skos:prefLabel,(BUILDINGS-BUILDINGS)@en),stem)	
ENVO:00000073	building	GCMD:d7742082-5461-4610-9ced-e0ec3bb64697	BUILDINGS	build		info(exact-label,rdf(ENVO:00000073-building,oio:hasExactSynonym-has_exact_synonym,building-building^^xsd:string)-rdf(GCMD:d7742082-5461-4610-9ced-e0ec3bb64697-BUILDINGS,skos:prefLabel,(BUILDINGS-BUILDINGS)@en),stem)	
