SWEET:humanKnowledgeDomain/Geochemistry	geochemistry	GCMD:906e647b-2683-4ae7-9986-1aea15582b52	GEOCHEMISTRY	geochemistry		info(label-label,rdf(SWEET:humanKnowledgeDomain/Geochemistry-geochemistry,rdfs:label,(geochemistry-geochemistry)@en)-rdf(GCMD:906e647b-2683-4ae7-9986-1aea15582b52-GEOCHEMISTRY,skos:prefLabel,(GEOCHEMISTRY-GEOCHEMISTRY)@en),downcase)	
SWEET:humanKnowledgeDomain/HumanDimension	human dimension	GCMD:fb93d937-c17c-45d0-a9e3-ca5c8a800ca8	HUMAN DIMENSIONS	human dimens		info(label-label,rdf(SWEET:humanKnowledgeDomain/HumanDimension-human dimension,rdfs:label,(human dimension-human dimension)@en)-rdf(GCMD:fb93d937-c17c-45d0-a9e3-ca5c8a800ca8-HUMAN DIMENSIONS,skos:prefLabel,(HUMAN DIMENSIONS-HUMAN DIMENSIONS)@en),stem)	
SWEET:humanKnowledgeDomain/LandscapeEcology	landscape ecology	GCMD:e77c0096-05a7-47ff-8629-55d12c46bb6b	LANDSCAPE ECOLOGY	landscape ecolog		info(label-label,rdf(SWEET:humanKnowledgeDomain/LandscapeEcology-landscape ecology,rdfs:label,(landscape ecology-landscape ecology)@en)-rdf(GCMD:e77c0096-05a7-47ff-8629-55d12c46bb6b-LANDSCAPE ECOLOGY,skos:prefLabel,(LANDSCAPE ECOLOGY-LANDSCAPE ECOLOGY)@en),stem)	
SWEET:humanKnowledgeDomain/LandscapeEcology	landscape ecology	GCMD:e77c0096-05a7-47ff-8629-55d12c46bb6b	LANDSCAPE ECOLOGY	landscape ecology		info(label-label,rdf(SWEET:humanKnowledgeDomain/LandscapeEcology-landscape ecology,rdfs:label,(landscape ecology-landscape ecology)@en)-rdf(GCMD:e77c0096-05a7-47ff-8629-55d12c46bb6b-LANDSCAPE ECOLOGY,skos:prefLabel,(LANDSCAPE ECOLOGY-LANDSCAPE ECOLOGY)@en),downcase)	
SWEET:humanKnowledgeDomain/Neotectonics	neotectonics	GCMD:3ef98fe3-3471-414b-8b8c-e88d43c6aeaf	NEOTECTONICS	neotecton		info(label-label,rdf(SWEET:humanKnowledgeDomain/Neotectonics-neotectonics,rdfs:label,(neotectonics-neotectonics)@en)-rdf(GCMD:3ef98fe3-3471-414b-8b8c-e88d43c6aeaf-NEOTECTONICS,skos:prefLabel,(NEOTECTONICS-NEOTECTONICS)@en),stem)	
SWEET:humanKnowledgeDomain/Neotectonics	neotectonics	GCMD:3ef98fe3-3471-414b-8b8c-e88d43c6aeaf	NEOTECTONICS	neotectonics		info(label-label,rdf(SWEET:humanKnowledgeDomain/Neotectonics-neotectonics,rdfs:label,(neotectonics-neotectonics)@en)-rdf(GCMD:3ef98fe3-3471-414b-8b8c-e88d43c6aeaf-NEOTECTONICS,skos:prefLabel,(NEOTECTONICS-NEOTECTONICS)@en),downcase)	
SWEET:humanKnowledgeDomain/Photochemistry	photochemistry	GCMD:6433e330-3797-4cf9-a8ba-d26d39624459	PHOTOCHEMISTRY	photochemistri		info(label-label,rdf(SWEET:humanKnowledgeDomain/Photochemistry-photochemistry,rdfs:label,(photochemistry-photochemistry)@en)-rdf(GCMD:6433e330-3797-4cf9-a8ba-d26d39624459-PHOTOCHEMISTRY,skos:prefLabel,(PHOTOCHEMISTRY-PHOTOCHEMISTRY)@en),stem)	
SWEET:humanKnowledgeDomain/Photochemistry	photochemistry	GCMD:6433e330-3797-4cf9-a8ba-d26d39624459	PHOTOCHEMISTRY	photochemistry		info(label-label,rdf(SWEET:humanKnowledgeDomain/Photochemistry-photochemistry,rdfs:label,(photochemistry-photochemistry)@en)-rdf(GCMD:6433e330-3797-4cf9-a8ba-d26d39624459-PHOTOCHEMISTRY,skos:prefLabel,(PHOTOCHEMISTRY-PHOTOCHEMISTRY)@en),downcase)	
SWEET:humanKnowledgeDomain/PlateTectonics	plate tectonics	GCMD:6971fecc-af14-4c97-82db-2b01c98453b9	PLATE TECTONICS	plate tecton		info(label-label,rdf(SWEET:humanKnowledgeDomain/PlateTectonics-plate tectonics,rdfs:label,(plate tectonics-plate tectonics)@en)-rdf(GCMD:6971fecc-af14-4c97-82db-2b01c98453b9-PLATE TECTONICS,skos:prefLabel,(PLATE TECTONICS-PLATE TECTONICS)@en),stem)	
SWEET:humanKnowledgeDomain/PlateTectonics	plate tectonics	GCMD:6971fecc-af14-4c97-82db-2b01c98453b9	PLATE TECTONICS	plate tectonics		info(label-label,rdf(SWEET:humanKnowledgeDomain/PlateTectonics-plate tectonics,rdfs:label,(plate tectonics-plate tectonics)@en)-rdf(GCMD:6971fecc-af14-4c97-82db-2b01c98453b9-PLATE TECTONICS,skos:prefLabel,(PLATE TECTONICS-PLATE TECTONICS)@en),downcase)	
